# kind	name	lo	hi (code: [lo, hi) bytes of .text; jal: the site's pc)
code	exitCode	0x80004764	0x80004790
code	exitCodeE	0x80000180	0x80000198
jal	exitJalExitE	0x8000478c
decode_alias	72c0406f	Vsa.Sim.OutputAliasDecode
code	mainErrCode	0x800045ec	0x80004620
code	crt0JCode	0x80000038	0x8000003c
code	interpLandCode	0x80004428	0x80004540
jal	mainJalFprintf	0x80004614
code	rtErrCode	0x80002da8	0x80002df4
code	ljCode	0x8000703c	0x80007080
jal	rtJalSnprintf1	0x80002dc8
jal	rtJalSnprintf2	0x80002de4
jal	rtJalLongjmp	0x80002df0
oom	env_new	0x80002a38
oom	env_define	0x80002bd0
oom	stringify	0x80003140
code	setjmpCode	0x80006ffc	0x8000703c
